"protein"	"targetcluster"	"annotcluster"	"categorycluster"	"cluster.ref"	"targetsingle"	"annotsingle"	"categorysingle"	"annot"
"bin_38||F2T1_NODE_5_length_9843_cov_5.227523_3"	"phrog_645"	"Rnase E"	"DNA, RNA and nucleotide metabolism"	"YP_005102509.1"	"phrog_645"	"Rnase E"	"DNA, RNA and nucleotide metabolism"	"Rnase E"
"bin_05||F1T1_NODE_43_length_4611_cov_3.309701_2"	"phrog_85"	"thymidylate synthase"	"DNA, RNA and nucleotide metabolism"	"YP_009169299.1"	"phrog_85"	"thymidylate synthase"	"DNA, RNA and nucleotide metabolism"	"thymidylate synthase"
"bin_33||F2M_NODE_53_length_6758_cov_3.480382_3"	"phrog_3717"	"terminase large subunit"	"head and packaging"	"YP_007673402.1"	"phrog_3717"	"terminase large subunit"	"head and packaging"	"terminase large subunit"
"bin_22||F1T2_NODE_3_length_67878_cov_24.094643_60"	"phrog_9863"	"virion structural protein"	"head and packaging"	"YP_010112970.1"	"phrog_9863"	"virion structural protein"	"head and packaging"	"virion structural protein"
"bin_15||F1T1_NODE_3_length_34133_cov_11.206438_19"	"phrog_2739"	"portal protein"	"head and packaging"	"YP_009221598.1"	"phrog_2739"	"portal protein"	"head and packaging"	"portal protein"
"bin_11||F4T1_NODE_25_length_5540_cov_2.834458_11"	"phrog_7566"	NA	"unknown function"	"YP_009098689.1"	"phrog_7566"	NA	"unknown function"	"NA"
"bin_66||F3M_NODE_8_length_11200_cov_22.507941_11"	"phrog_26406"	NA	"unknown function"	"bin_66||F3M_NODE_8_length_11200_cov_22.507941_11"	"phrog_36597"	NA	"unknown function"	"NA"
"bin_22||F1T2_NODE_3_length_67878_cov_24.094643_38"	"phrog_1252"	"DNA polymerase"	"DNA, RNA and nucleotide metabolism"	"bin_22||F1T2_NODE_3_length_67878_cov_24.094643_38"	"phrog_1252"	"DNA polymerase"	"DNA, RNA and nucleotide metabolism"	"DNA polymerase"
"bin_38||F2T1_NODE_5_length_9843_cov_5.227523_13"	"phrog_119"	"HNH endonuclease"	"DNA, RNA and nucleotide metabolism"	"YP_005102518.1"	"phrog_144"	"HNH endonuclease"	"DNA, RNA and nucleotide metabolism"	"HNH endonuclease"
"bin_62||F3M_NODE_2_length_96186_cov_32.177903_84"	"phrog_21107"	NA	"unknown function"	"YP_010112900.1"	"phrog_21107"	NA	"unknown function"	"NA"
"bin_23||F2M_NODE_18_length_13684_cov_7.727273_7"	"phrog_62"	"DNA helicase"	"DNA, RNA and nucleotide metabolism"	"YP_010080269.1"	"phrog_62"	"DNA helicase"	"DNA, RNA and nucleotide metabolism"	"DNA helicase"
"bin_36||F2M_NODE_36_length_9459_cov_25.542960_20"	"phrog_62"	"DNA helicase"	"DNA, RNA and nucleotide metabolism"	"YP_010080269.1"	"phrog_62"	"DNA helicase"	"DNA, RNA and nucleotide metabolism"	"DNA helicase"
"bin_38||F2M_NODE_66_length_5681_cov_22.920370_2"	"phrog_38862"	NA	"unknown function"	"bin_38||F2M_NODE_66_length_5681_cov_22.920370_2"	"phrog_38862"	NA	"unknown function"	"NA"
"bin_38||F2T1_NODE_6_length_7108_cov_4.665674_1"	"phrog_38862"	NA	"unknown function"	"bin_38||F2M_NODE_66_length_5681_cov_22.920370_2"	"phrog_38862"	NA	"unknown function"	"NA"
"bin_02||F1M_NODE_33_length_2801_cov_3.066278_3"	"phrog_38862"	NA	"unknown function"	"bin_38||F2M_NODE_66_length_5681_cov_22.920370_2"	"phrog_38862"	NA	"unknown function"	"NA"
"bin_62||F3M_NODE_2_length_96186_cov_32.177903_85"	NA	NA	NA	"YP_010110293.1"	"phrog_34557"	"integrase"	"integration and excision"	"integrase"
"bin_22||F1T2_NODE_3_length_67878_cov_24.094643_35"	NA	NA	NA	"YP_010110293.1"	NA	NA	NA	"NA"
"bin_22||F1T2_NODE_3_length_67878_cov_24.094643_61"	"phrog_1501"	NA	"unknown function"	"YP_007877324.1"	"phrog_1501"	NA	"unknown function"	"NA"
"bin_94||F4T1_NODE_8_length_17516_cov_18.513659_7"	"phrog_202"	"distal tail protein Dit"	"tail"	"YP_001974374.1"	"phrog_16185"	"tail protein"	"tail"	"tail protein"
"bin_25||F2M_NODE_35_length_9690_cov_6.026362_1"	"phrog_3886"	NA	"unknown function"	"bin_25||F2M_NODE_35_length_9690_cov_6.026362_1"	"phrog_3886"	NA	"unknown function"	"NA"
"bin_16||F2T2_NODE_31_length_5146_cov_2.359065_14"	"phrog_159"	"RuvC-like Holliday junction resolvase"	"DNA, RNA and nucleotide metabolism"	"YP_010081204.1"	"phrog_827"	"Holliday junction resolvase"	"DNA, RNA and nucleotide metabolism"	"Holliday junction resolvase"
"bin_70||F3T2_NODE_3_length_87254_cov_17.672565_73"	"phrog_62"	"DNA helicase"	"DNA, RNA and nucleotide metabolism"	"YP_001497399.1"	"phrog_16694"	NA	"unknown function"	"DNA helicase"
"bin_22||F1T2_NODE_7_length_14206_cov_35.101618_2"	"phrog_3276"	NA	"unknown function"	"YP_010110138.1"	"phrog_23422"	NA	"unknown function"	"NA"
"bin_11||F3T2_NODE_71_length_2266_cov_1.324740_5"	"phrog_10898"	NA	"unknown function"	"bin_11||F3T2_NODE_71_length_2266_cov_1.324740_5"	"phrog_10898"	NA	"unknown function"	"NA"
"bin_13||F1T1_NODE_28_length_5972_cov_4.304715_5"	"phrog_10898"	NA	"unknown function"	"bin_11||F3T2_NODE_71_length_2266_cov_1.324740_5"	"phrog_10898"	NA	"unknown function"	"NA"
"bin_36||F2M_NODE_88_length_4266_cov_21.890525_8"	"phrog_1689"	"nucleotide kinase"	"other"	"YP_009613809.1"	"phrog_1689"	"nucleotide kinase"	"other"	"nucleotide kinase"
"bin_23||F2M_NODE_18_length_13684_cov_7.727273_20"	"phrog_1689"	"nucleotide kinase"	"other"	"YP_009613809.1"	"phrog_1689"	"nucleotide kinase"	"other"	"nucleotide kinase"
"bin_21||F1T2_NODE_10_length_11571_cov_12.400139_13"	"phrog_2038"	"upper collar connector"	"connector"	"bin_21||F1T2_NODE_10_length_11571_cov_12.400139_13"	"phrog_2038"	"upper collar connector"	"connector"	"upper collar connector"
"bin_07||F1T1_NODE_15_length_10016_cov_5.736271_9"	"phrog_2038"	"upper collar connector"	"connector"	"bin_21||F1T2_NODE_10_length_11571_cov_12.400139_13"	"phrog_2038"	"upper collar connector"	"connector"	"upper collar connector"
"bin_25||F1T2_NODE_39_length_3994_cov_4.134552_1"	"phrog_2038"	"upper collar connector"	"connector"	"bin_21||F1T2_NODE_10_length_11571_cov_12.400139_13"	"phrog_2038"	"upper collar connector"	"connector"	"upper collar connector"
"bin_23||F1T2_NODE_46_length_3262_cov_3.152167_4"	"phrog_78"	"tail terminator"	"connector"	"YP_009603103.1"	"phrog_957"	"head protein"	"head and packaging"	"head protein"
"bin_83||F4M_NODE_31_length_3121_cov_2.123614_2"	"phrog_78"	"tail terminator"	"connector"	"YP_009603103.1"	"phrog_24859"	NA	"unknown function"	"tail terminator"
"bin_23||F2M_NODE_6_length_26132_cov_8.647314_13"	"phrog_78"	"tail terminator"	"connector"	"YP_009603103.1"	"phrog_957"	"head protein"	"head and packaging"	"head protein"
"bin_36||F2M_NODE_8_length_25165_cov_22.640104_19"	"phrog_78"	"tail terminator"	"connector"	"YP_009603103.1"	"phrog_164"	"ParA-like partition protein"	"DNA, RNA and nucleotide metabolism"	"ParA-like partition protein"
"bin_70||F3T2_NODE_3_length_87254_cov_17.672565_4"	"phrog_531"	"Rnase H"	"DNA, RNA and nucleotide metabolism"	"YP_009603605.1"	"phrog_531"	"Rnase H"	"DNA, RNA and nucleotide metabolism"	"Rnase H"
"bin_54||F2T2_NODE_14_length_12054_cov_11.000333_9"	"phrog_2150"	"terminase"	"head and packaging"	"bin_54||F2T2_NODE_14_length_12054_cov_11.000333_9"	"phrog_2150"	"terminase"	"head and packaging"	"terminase"
"bin_41||F2M_NODE_13_length_16832_cov_10.453120_13"	"phrog_2150"	"terminase"	"head and packaging"	"bin_54||F2T2_NODE_14_length_12054_cov_11.000333_9"	"phrog_2150"	"terminase"	"head and packaging"	"terminase"
"bin_67||F3T2_NODE_14_length_17040_cov_17.432028_5"	"phrog_2150"	"terminase"	"head and packaging"	"bin_54||F2T2_NODE_14_length_12054_cov_11.000333_9"	"phrog_2150"	"terminase"	"head and packaging"	"terminase"
"bin_27||F1T2_NODE_50_length_3035_cov_71.021141_2"	"phrog_2150"	"terminase"	"head and packaging"	"bin_54||F2T2_NODE_14_length_12054_cov_11.000333_9"	"phrog_2150"	"terminase"	"head and packaging"	"terminase"
"bin_11||F1T2_NODE_55_length_2907_cov_2.586606_3"	"phrog_2150"	"terminase"	"head and packaging"	"bin_54||F2T2_NODE_14_length_12054_cov_11.000333_9"	"phrog_2150"	"terminase"	"head and packaging"	"terminase"
"bin_01||F1M_NODE_1_length_97959_cov_90.685580_51"	"phrog_8490"	NA	"unknown function"	"bin_01||F1M_NODE_1_length_97959_cov_90.685580_51"	"phrog_8490"	NA	"unknown function"	"NA"
"bin_68||F3T2_NODE_16_length_12864_cov_12.776407_8"	"phrog_8490"	NA	"unknown function"	"bin_01||F1M_NODE_1_length_97959_cov_90.685580_51"	"phrog_8490"	NA	"unknown function"	"NA"
"bin_87||F4M_NODE_3_length_55935_cov_12.067484_35"	"phrog_6547"	"portal protein"	"head and packaging"	"bin_87||F4M_NODE_3_length_55935_cov_12.067484_35"	"phrog_6547"	"portal protein"	"head and packaging"	"portal protein"
"bin_04||F1M_NODE_3_length_59487_cov_7.401148_34"	"phrog_6547"	"portal protein"	"head and packaging"	"bin_87||F4M_NODE_3_length_55935_cov_12.067484_35"	"phrog_6547"	"portal protein"	"head and packaging"	"portal protein"
"bin_22||F1T2_NODE_7_length_14206_cov_35.101618_14"	"phrog_6547"	"portal protein"	"head and packaging"	"bin_87||F4M_NODE_3_length_55935_cov_12.067484_35"	"phrog_6547"	"portal protein"	"head and packaging"	"portal protein"
"bin_23||F4M_NODE_50_length_2075_cov_2.068812_1"	"phrog_1642"	"virion structural protein"	"head and packaging"	"YP_009160335.1"	"phrog_1642"	"virion structural protein"	"head and packaging"	"virion structural protein"
"bin_01||F1M_NODE_1_length_97959_cov_90.685580_42"	"phrog_15228"	NA	"unknown function"	"YP_010110793.1"	"phrog_4741"	NA	"unknown function"	"NA"
"bin_26||F4M_NODE_9_length_21262_cov_7.968973_11"	"phrog_824"	NA	"unknown function"	"YP_009222562.1"	"phrog_93"	"endonuclease"	"DNA, RNA and nucleotide metabolism"	"endonuclease"
"bin_22||F1T2_NODE_6_length_14301_cov_30.775095_9"	"phrog_2432"	NA	"unknown function"	"bin_22||F1T2_NODE_6_length_14301_cov_30.775095_9"	"phrog_2432"	NA	"unknown function"	"NA"
"bin_53||F2T2_NODE_13_length_17782_cov_7.428668_20"	"phrog_979"	"terminase large subunit"	"head and packaging"	"YP_009831952.1"	"phrog_979"	"terminase large subunit"	"head and packaging"	"terminase large subunit"
"bin_33||F2M_NODE_29_length_10180_cov_3.568889_5"	"phrog_864"	"DNA primase"	"DNA, RNA and nucleotide metabolism"	"YP_010080289.1"	"phrog_864"	"DNA primase"	"DNA, RNA and nucleotide metabolism"	"DNA primase"
"bin_40||F2M_NODE_129_length_2597_cov_69.369788_6"	NA	NA	NA	"YP_010112658.1"	"phrog_21073"	NA	"unknown function"	"NA"
"bin_22||F1T2_NODE_32_length_4279_cov_35.349905_9"	NA	NA	NA	"YP_010112658.1"	"phrog_28244"	NA	"unknown function"	"NA"
"bin_22||F1T2_NODE_7_length_14206_cov_35.101618_3"	"phrog_21935"	NA	"unknown function"	"YP_010110880.1"	"phrog_11216"	NA	"unknown function"	"NA"
"bin_62||F3M_NODE_2_length_96186_cov_32.177903_19"	"phrog_21935"	NA	"unknown function"	"YP_010110880.1"	"phrog_33099"	NA	"unknown function"	"NA"
"bin_22||F1T2_NODE_3_length_67878_cov_24.094643_3"	"phrog_5617"	NA	"unknown function"	"YP_010110857.1"	"phrog_5617"	NA	"unknown function"	"NA"
"bin_11||F2T2_NODE_32_length_4920_cov_4.094347_3"	"phrog_581"	"minor head protein"	"head and packaging"	"YP_009807287.1"	"phrog_581"	"minor head protein"	"head and packaging"	"minor head protein"
"bin_78||F4M_NODE_11_length_20080_cov_5.793358_14"	"phrog_217"	"holin"	"lysis"	"YP_009067091.1"	"phrog_217"	"holin"	"lysis"	"holin"
"bin_08||F1T1_NODE_16_length_9756_cov_3.211009_5"	"phrog_37316"	NA	"unknown function"	"YP_010111973.1"	"phrog_16446"	NA	"unknown function"	"NA"
"bin_35||F2M_NODE_1_length_53054_cov_5.764014_31"	"phrog_37316"	NA	"unknown function"	"YP_010111973.1"	"phrog_21907"	NA	"unknown function"	"NA"
"bin_08||F1T1_NODE_9_length_13674_cov_5.356120_17"	"phrog_11589"	"major head protein"	"head and packaging"	"YP_010110595.1"	"phrog_11589"	"major head protein"	"head and packaging"	"major head protein"
"bin_11||F4T1_NODE_41_length_3686_cov_3.431286_2"	"phrog_706"	NA	"unknown function"	"YP_164426.1"	"phrog_706"	NA	"unknown function"	"NA"
"bin_12||F1T1_NODE_25_length_6194_cov_4.898029_5"	"phrog_5158"	NA	"unknown function"	"bin_12||F1T1_NODE_25_length_6194_cov_4.898029_5"	"phrog_5158"	NA	"unknown function"	"NA"
"bin_80||F4M_NODE_18_length_5602_cov_3.231837_3"	"phrog_5158"	NA	"unknown function"	"bin_12||F1T1_NODE_25_length_6194_cov_4.898029_5"	"phrog_31272"	"pilot protein for DNA ejection"	"tail"	"pilot protein for DNA ejection"
"bin_16||F3M_NODE_30_length_3981_cov_2.774070_3"	"phrog_5158"	NA	"unknown function"	"bin_12||F1T1_NODE_25_length_6194_cov_4.898029_5"	"phrog_8689"	"pilot protein for DNA ejection"	"tail"	"pilot protein for DNA ejection"
"bin_57||F2T2_NODE_5_length_34551_cov_33.694979_30"	"phrog_97"	"UvsX-like recombinase"	"other"	"YP_851022.1"	"phrog_97"	"UvsX-like recombinase"	"other"	"UvsX-like recombinase"
"bin_70||F3T2_NODE_3_length_87254_cov_17.672565_54"	"phrog_97"	"UvsX-like recombinase"	"other"	"YP_851022.1"	"phrog_97"	"UvsX-like recombinase"	"other"	"UvsX-like recombinase"
"bin_59||F3M_NODE_10_length_11092_cov_7.330887_5"	"phrog_4433"	NA	"unknown function"	"bin_59||F3M_NODE_10_length_11092_cov_7.330887_5"	"phrog_4433"	NA	"unknown function"	"NA"
"bin_22||F1T2_NODE_7_length_14206_cov_35.101618_12"	"phrog_25798"	NA	"unknown function"	"bin_22||F1T2_NODE_7_length_14206_cov_35.101618_12"	"phrog_25798"	NA	"unknown function"	"NA"
"bin_44||F2M_NODE_43_length_8145_cov_10.350433_6"	"phrog_2150"	"terminase"	"head and packaging"	"YP_009623602.1"	"phrog_2150"	"terminase"	"head and packaging"	"terminase"
"bin_07||F1T1_NODE_15_length_10016_cov_5.736271_2"	"phrog_2150"	"terminase"	"head and packaging"	"YP_009623602.1"	"phrog_2150"	"terminase"	"head and packaging"	"terminase"
"bin_21||F1T2_NODE_38_length_4085_cov_11.733575_5"	"phrog_2150"	"terminase"	"head and packaging"	"YP_009623602.1"	"phrog_2150"	"terminase"	"head and packaging"	"terminase"
"bin_35||F2M_NODE_1_length_53054_cov_5.764014_23"	"phrog_6547"	"portal protein"	"head and packaging"	"YP_010111966.1"	"phrog_6547"	"portal protein"	"head and packaging"	"portal protein"
"bin_01||F1M_NODE_1_length_97959_cov_90.685580_32"	"phrog_6547"	"portal protein"	"head and packaging"	"YP_010111966.1"	"phrog_6547"	"portal protein"	"head and packaging"	"portal protein"
"bin_94||F4T1_NODE_8_length_17516_cov_18.513659_18"	"phrog_2662"	"portal protein"	"head and packaging"	"bin_94||F4T1_NODE_8_length_17516_cov_18.513659_18"	"phrog_2662"	"portal protein"	"head and packaging"	"portal protein"
"bin_62||F3M_NODE_2_length_96186_cov_32.177903_94"	"phrog_249"	"porphyrin biosynthesis"	"moron, auxiliary metabolic gene and host takeover"	"YP_010113160.1"	"phrog_249"	"porphyrin biosynthesis"	"moron, auxiliary metabolic gene and host takeover"	"porphyrin biosynthesis"
"bin_22||F1T2_NODE_3_length_67878_cov_24.094643_44"	"phrog_249"	"porphyrin biosynthesis"	"moron, auxiliary metabolic gene and host takeover"	"YP_010113160.1"	"phrog_249"	"porphyrin biosynthesis"	"moron, auxiliary metabolic gene and host takeover"	"porphyrin biosynthesis"
"bin_22||F1T2_NODE_3_length_67878_cov_24.094643_4"	"phrog_3188"	"co-chaperonin GroES"	"other"	"YP_010112345.1"	"phrog_4564"	NA	"unknown function"	"co-chaperonin GroES"
"bin_62||F3M_NODE_2_length_96186_cov_32.177903_57"	"phrog_3188"	"co-chaperonin GroES"	"other"	"YP_010112345.1"	"phrog_10382"	NA	"unknown function"	"co-chaperonin GroES"
"bin_68||F3T2_NODE_16_length_12864_cov_12.776407_15"	NA	NA	NA	"YP_009052492.1"	NA	NA	NA	"NA"
"bin_01||F1M_NODE_1_length_97959_cov_90.685580_56"	NA	NA	NA	"YP_009052492.1"	"phrog_38005"	NA	"unknown function"	"NA"
"bin_08||F1T1_NODE_41_length_4955_cov_2.714490_4"	"phrog_12854"	NA	"unknown function"	"bin_08||F1T1_NODE_41_length_4955_cov_2.714490_4"	"phrog_30332"	NA	"unknown function"	"NA"
"bin_35||F2M_NODE_11_length_20357_cov_5.705743_23"	"phrog_12854"	NA	"unknown function"	"bin_08||F1T1_NODE_41_length_4955_cov_2.714490_4"	"phrog_11614"	NA	"unknown function"	"NA"
"bin_34||F2M_NODE_109_length_3033_cov_36.905641_2"	"phrog_3308"	NA	"unknown function"	"bin_34||F2M_NODE_109_length_3033_cov_36.905641_2"	"phrog_3308"	NA	"unknown function"	"NA"
"bin_01||F1M_NODE_1_length_97959_cov_90.685580_21"	"phrog_3308"	NA	"unknown function"	"bin_34||F2M_NODE_109_length_3033_cov_36.905641_2"	"phrog_3308"	NA	"unknown function"	"NA"
"bin_01||F1M_NODE_1_length_97959_cov_90.685580_16"	"phrog_31799"	NA	"unknown function"	"YP_010110606.1"	"phrog_30173"	NA	"unknown function"	"NA"
"bin_53||F2T2_NODE_13_length_17782_cov_7.428668_6"	"phrog_18646"	NA	"unknown function"	"YP_002265428.1"	"phrog_18646"	NA	"unknown function"	"NA"
"bin_01||F1M_NODE_1_length_97959_cov_90.685580_86"	"phrog_9467"	NA	"unknown function"	"bin_01||F1M_NODE_1_length_97959_cov_90.685580_86"	"phrog_9467"	NA	"unknown function"	"NA"
"bin_08||F1T1_NODE_30_length_5816_cov_3.776601_3"	"phrog_9467"	NA	"unknown function"	"bin_01||F1M_NODE_1_length_97959_cov_90.685580_86"	"phrog_9467"	NA	"unknown function"	"NA"
"bin_01||F1M_NODE_1_length_97959_cov_90.685580_7"	"phrog_9863"	"virion structural protein"	"head and packaging"	"YP_010111008.1"	"phrog_9863"	"virion structural protein"	"head and packaging"	"virion structural protein"
"bin_22||F1T2_NODE_3_length_67878_cov_24.094643_32"	"phrog_35009"	"holin"	"lysis"	"YP_010110291.1"	"phrog_15720"	NA	"unknown function"	"holin"
"bin_53||F2T2_NODE_21_length_7199_cov_6.091685_3"	"phrog_130"	"anti-repressor Ant"	"transcription regulation"	"bin_53||F2T2_NODE_21_length_7199_cov_6.091685_3"	"phrog_130"	"anti-repressor Ant"	"transcription regulation"	"anti-repressor Ant"
"bin_43||F2M_NODE_3_length_45859_cov_9.702144_64"	"phrog_1423"	"Reverse transcriptase"	"DNA, RNA and nucleotide metabolism"	"NP_758929.1"	"phrog_1423"	"Reverse transcriptase"	"DNA, RNA and nucleotide metabolism"	"Reverse transcriptase"
"bin_62||F3M_NODE_2_length_96186_cov_32.177903_102"	"phrog_412"	"exonuclease VIII"	"DNA, RNA and nucleotide metabolism"	"YP_010088179.1"	"phrog_412"	"exonuclease VIII"	"DNA, RNA and nucleotide metabolism"	"exonuclease VIII"
"bin_22||F1T2_NODE_3_length_67878_cov_24.094643_50"	"phrog_412"	"exonuclease VIII"	"DNA, RNA and nucleotide metabolism"	"YP_010088179.1"	"phrog_412"	"exonuclease VIII"	"DNA, RNA and nucleotide metabolism"	"exonuclease VIII"
"bin_17||F3M_NODE_12_length_7213_cov_3.918692_12"	"phrog_13941"	NA	"unknown function"	"bin_17||F3M_NODE_12_length_7213_cov_3.918692_12"	"phrog_13941"	NA	"unknown function"	"NA"
"bin_17||F4T1_NODE_18_length_8231_cov_5.800391_6"	"phrog_13941"	NA	"unknown function"	"bin_17||F3M_NODE_12_length_7213_cov_3.918692_12"	"phrog_13941"	NA	"unknown function"	"NA"
"bin_38||F2M_NODE_66_length_5681_cov_22.920370_10"	"phrog_13941"	NA	"unknown function"	"bin_17||F3M_NODE_12_length_7213_cov_3.918692_12"	"phrog_13941"	NA	"unknown function"	"NA"
"bin_62||F3M_NODE_2_length_96186_cov_32.177903_67"	"phrog_15876"	NA	"unknown function"	"YP_010112369.1"	"phrog_11843"	NA	"unknown function"	"NA"
"bin_37||F2M_NODE_113_length_2922_cov_46.970701_1"	"phrog_15876"	NA	"unknown function"	"YP_010112369.1"	"phrog_16261"	"virion structural protein"	"head and packaging"	"virion structural protein"
"bin_11||F4T1_NODE_19_length_7086_cov_5.105533_1"	"phrog_1373"	"transcriptional regulator"	"transcription regulation"	"bin_11||F4T1_NODE_19_length_7086_cov_5.105533_1"	"phrog_1381"	"plasmid antitoxin with HTH domain"	"moron, auxiliary metabolic gene and host takeover"	"plasmid antitoxin with HTH domain"
"bin_22||F1T2_NODE_3_length_67878_cov_24.094643_17"	"phrog_38292"	NA	"unknown function"	"YP_010110181.1"	"phrog_12997"	NA	"unknown function"	"NA"
"bin_62||F3M_NODE_2_length_96186_cov_32.177903_91"	"phrog_20230"	NA	"unknown function"	"YP_010112893.1"	"phrog_27649"	NA	"unknown function"	"NA"
"bin_24||F2T2_NODE_9_length_25951_cov_7.477178_32"	"phrog_9605"	NA	"unknown function"	"YP_009200580.1"	"phrog_9605"	NA	"unknown function"	"NA"
"bin_01||F1M_NODE_1_length_97959_cov_90.685580_40"	"phrog_16390"	NA	"unknown function"	"YP_010111035.1"	"phrog_19202"	NA	"unknown function"	"NA"
"bin_35||F2M_NODE_1_length_53054_cov_5.764014_25"	"phrog_16390"	NA	"unknown function"	"YP_010111035.1"	"phrog_2538"	"terminase small subunit"	"head and packaging"	"terminase small subunit"
"bin_01||F1M_NODE_1_length_97959_cov_90.685580_66"	"phrog_9151"	"HicB-like antitoxin"	"moron, auxiliary metabolic gene and host takeover"	"YP_010105572.1"	NA	NA	NA	"HicB-like antitoxin"
"bin_22||F1T2_NODE_3_length_67878_cov_24.094643_52"	"phrog_37651"	"virion structural protein"	"head and packaging"	"YP_010110694.1"	"phrog_21376"	NA	"unknown function"	"virion structural protein"
"bin_24||F2T2_NODE_9_length_25951_cov_7.477178_12"	"phrog_380"	"endolysin"	"lysis"	"YP_009035509.1"	"phrog_380"	"endolysin"	"lysis"	"endolysin"
"bin_78||F4M_NODE_11_length_20080_cov_5.793358_10"	"phrog_292"	NA	"unknown function"	"bin_78||F4M_NODE_11_length_20080_cov_5.793358_10"	"phrog_292"	NA	"unknown function"	"NA"
"bin_70||F3T2_NODE_3_length_87254_cov_17.672565_15"	"phrog_351"	"RNA polymerase sigma factor"	"transcription regulation"	"bin_70||F3T2_NODE_3_length_87254_cov_17.672565_15"	"phrog_351"	"RNA polymerase sigma factor"	"transcription regulation"	"RNA polymerase sigma factor"
"bin_23||F2M_NODE_18_length_13684_cov_7.727273_19"	"phrog_2152"	NA	"unknown function"	"YP_009017669.1"	"phrog_2152"	NA	"unknown function"	"NA"
"bin_36||F2M_NODE_88_length_4266_cov_21.890525_4"	"phrog_2152"	NA	"unknown function"	"YP_009017669.1"	"phrog_2152"	NA	"unknown function"	"NA"
"bin_23||F2M_NODE_89_length_4258_cov_7.945515_5"	"phrog_2152"	NA	"unknown function"	"YP_009017669.1"	"phrog_2152"	NA	"unknown function"	"NA"
"bin_22||F1T2_NODE_3_length_67878_cov_24.094643_12"	"phrog_1587"	NA	"unknown function"	"YP_010110176.1"	"phrog_20418"	NA	"unknown function"	"NA"
"bin_62||F3M_NODE_2_length_96186_cov_32.177903_74"	"phrog_13402"	NA	"unknown function"	"bin_62||F3M_NODE_2_length_96186_cov_32.177903_74"	"phrog_7039"	"chemotaxis inhibition protein"	"moron, auxiliary metabolic gene and host takeover"	"chemotaxis inhibition protein"
"bin_06||F1T1_NODE_11_length_12335_cov_9.844788_5"	"phrog_6370"	"dsDNA binding protein"	"DNA, RNA and nucleotide metabolism"	"YP_009910180.1"	"phrog_6370"	"dsDNA binding protein"	"DNA, RNA and nucleotide metabolism"	"dsDNA binding protein"
"bin_04||F1M_NODE_3_length_59487_cov_7.401148_40"	"phrog_32037"	NA	"unknown function"	"bin_04||F1M_NODE_3_length_59487_cov_7.401148_40"	"phrog_32037"	NA	"unknown function"	"NA"
"bin_87||F4M_NODE_3_length_55935_cov_12.067484_40"	"phrog_32037"	NA	"unknown function"	"bin_04||F1M_NODE_3_length_59487_cov_7.401148_40"	"phrog_32037"	NA	"unknown function"	"NA"
"bin_43||F2M_NODE_3_length_45859_cov_9.702144_15"	"phrog_239"	"DNA primase/helicase"	"DNA, RNA and nucleotide metabolism"	"bin_43||F2M_NODE_3_length_45859_cov_9.702144_15"	"phrog_239"	"DNA primase/helicase"	"DNA, RNA and nucleotide metabolism"	"DNA primase/helicase"
"bin_62||F3M_NODE_2_length_96186_cov_32.177903_50"	"phrog_5802"	NA	"unknown function"	"YP_010113219.1"	NA	NA	NA	"NA"
"bin_24||F2T2_NODE_56_length_2381_cov_3.230009_2"	"phrog_824"	NA	"unknown function"	"YP_009855886.1"	"phrog_824"	NA	"unknown function"	"NA"
"bin_01||F1M_NODE_1_length_97959_cov_90.685580_52"	NA	NA	NA	"YP_009052488.1"	NA	NA	NA	"NA"
"bin_68||F3T2_NODE_16_length_12864_cov_12.776407_9"	NA	NA	NA	"YP_009052488.1"	NA	NA	NA	"NA"
"bin_15||F1T1_NODE_3_length_34133_cov_11.206438_6"	"phrog_1373"	"transcriptional regulator"	"transcription regulation"	"YP_009816884.1"	"phrog_1373"	"transcriptional regulator"	"transcription regulation"	"transcriptional regulator"
"bin_45||F4T1_NODE_32_length_4293_cov_12.877875_4"	"phrog_478"	"site-specific recombination directionality factor RDF"	"integration and excision"	"YP_009195543.1"	"phrog_478"	"site-specific recombination directionality factor RDF"	"integration and excision"	"site-specific recombination directionality factor RDF"
"bin_15||F1T1_NODE_3_length_34133_cov_11.206438_21"	"phrog_4147"	NA	"unknown function"	"YP_009194072.1"	"phrog_4147"	NA	"unknown function"	"NA"
"bin_38||F2T1_NODE_5_length_9843_cov_5.227523_11"	"phrog_44"	"single strand DNA binding protein"	"DNA, RNA and nucleotide metabolism"	"YP_009855442.1"	"phrog_44"	"single strand DNA binding protein"	"DNA, RNA and nucleotide metabolism"	"single strand DNA binding protein"
"bin_22||F1T2_NODE_13_length_10776_cov_38.074527_5"	"phrog_3225"	"adaptor Ad4"	"connector"	"YP_006488660.1"	"phrog_5472"	"lower collar"	"tail"	"lower collar"
"bin_06||F1T1_NODE_11_length_12335_cov_9.844788_10"	"phrog_3225"	"adaptor Ad4"	"connector"	"YP_006488660.1"	"phrog_3225"	"adaptor Ad4"	"connector"	"adaptor Ad4"
"bin_67||F3T2_NODE_14_length_17040_cov_17.432028_15"	"phrog_3225"	"adaptor Ad4"	"connector"	"YP_006488660.1"	"phrog_3225"	"adaptor Ad4"	"connector"	"adaptor Ad4"
