,Genome,Order,Family,Genus,VC,VC Status,Size,VC Subcluster,VC Subcluster Size,Quality,Adj P-value,Topology Confidence Score,Genera in VC,Families in VC,Orders in VC,Genus Confidence Score
585,Escherichia~virus~186,Caudovirales,Myoviridae,P2virus,68_0,Clustered,29,VC_68_0,29,0.839,1.0,0.839,2,1,1,1.0
586,Escherichia~virus~AKFV33,Caudovirales,Siphoviridae,T5virus,263_0,Clustered,14,VC_263_0,14,0.6399,1.0,0.6399,2,1,1,1.0
587,Escherichia~virus~CBA120,Caudovirales,Ackermannviridae,Cba120virus,25_1,Clustered,21,VC_25_1,21,0.813,1.0,0.813,5,1,1,0.819
588,Escherichia~virus~DT57C,Caudovirales,Siphoviridae,T5virus,263_0,Clustered,14,VC_263_0,14,0.6399,1.0,0.6399,2,1,1,1.0
589,Escherichia~virus~EPS7,Caudovirales,Siphoviridae,T5virus,263_0,Clustered,14,VC_263_0,14,0.6399,1.0,0.6399,2,1,1,1.0
590,Escherichia~virus~FI,Unassigned,Leviviridae,Allolevivirus,31_0,Clustered,3,VC_31_0,3,0.8305,0.95314582,0.7915,1,1,1,1.0
591,Escherichia~virus~HK022,Caudovirales,Siphoviridae,Hk97virus,180_0,Clustered,13,VC_180_0,13,0.4186,1.0,0.4186,2,1,1,1.0
592,Escherichia~virus~HK97,Caudovirales,Siphoviridae,Hk97virus,180_0,Clustered,13,VC_180_0,13,0.4186,1.0,0.4186,2,1,1,1.0
593,Escherichia~virus~I22,Unassigned,Inoviridae,Lineavirus,253_0,Clustered/Singleton,1,VC_253_0,1,0.0,0.0,0.0,1,1,1,1.0
594,Escherichia~virus~JL1,Caudovirales,Siphoviridae,Hk578virus,241_0,Clustered,10,VC_241_0,10,0.6624,1.0,0.6624,2,1,1,1.0
595,Escherichia~virus~K1-5,Caudovirales,Podoviridae,Sp6virus,257_0,Clustered,15,VC_257_0,15,1.0,0.0,0.0,2,1,1,1.0
596,Escherichia~virus~K1E,Caudovirales,Podoviridae,Sp6virus,257_0,Clustered,15,VC_257_0,15,1.0,0.0,0.0,2,1,1,1.0
597,Escherichia~virus~KP26,Caudovirales,Siphoviridae,Rogue1virus,62_0,Clustered,32,VC_62_0,32,0.9802,1.0,0.9802,10,1,1,0.9435
598,Escherichia~virus~M13,Unassigned,Inoviridae,Inovirus,254_0,Clustered,3,VC_254_0,3,0.7192,0.9278018,0.6673,2,1,1,1.0
599,Escherichia~virus~Mu,Caudovirales,Myoviridae,Muvirus,192_0,Clustered,3,VC_192_0,3,0.5552,0.99646581,0.5532,1,1,1,1.0
600,Escherichia~virus~N4,Caudovirales,Podoviridae,N4virus,7_1,Clustered,11,VC_7_1,11,0.4769,1.0,0.4769,3,1,1,0.9818
601,Escherichia~virus~P1,Caudovirales,Myoviridae,P1virus,262_0,Clustered,3,VC_262_0,3,0.992,0.95025401,0.9426,2,1,1,1.0
602,Escherichia~virus~P2,Caudovirales,Myoviridae,P2virus,68_0,Clustered,29,VC_68_0,29,0.839,1.0,0.839,2,1,1,1.0
603,Escherichia~virus~Qbeta,Unassigned,Leviviridae,Allolevivirus,31_0,Clustered,3,VC_31_0,3,0.8305,0.95314582,0.7915,1,1,1,1.0
604,Escherichia~virus~RB14,Caudovirales,Myoviridae,T4virus,33_5,Clustered,32,VC_33_5,32,0.3554,1.0,0.3554,2,1,1,0.996
605,Escherichia~virus~RB16,Caudovirales,Myoviridae,Unassigned,36_1,Clustered,8,VC_36_1,8,0.2294,1.0,0.2294,1,1,1,1.0
606,Escherichia~virus~RB32,Caudovirales,Myoviridae,Tequatrovirus,33_5,Clustered,32,VC_33_5,32,0.3554,1.0,0.3554,2,1,1,0.996
607,Escherichia~virus~RB43,Caudovirales,Myoviridae,Unassigned,36_1,Clustered,8,VC_36_1,8,0.2294,1.0,0.2294,1,1,1,1.0
608,Escherichia~virus~Rtp,Caudovirales,Siphoviridae,Rtpvirus,62_0,Clustered,32,VC_62_0,32,0.9802,1.0,0.9802,10,1,1,0.9435
609,Escherichia~virus~SSL2009a,Caudovirales,Siphoviridae,Hk578virus,241_0,Clustered,10,VC_241_0,10,0.6624,1.0,0.6624,2,1,1,1.0
610,Escherichia~virus~T1,Caudovirales,Siphoviridae,T1virus,62_0,Clustered,32,VC_62_0,32,0.9802,1.0,0.9802,10,1,1,0.9435
611,Escherichia~virus~T4,Caudovirales,Myoviridae,T4virus,33_5,Clustered,32,VC_33_5,32,0.3554,1.0,0.3554,2,1,1,0.996
612,Escherichia~virus~T5,Caudovirales,Siphoviridae,T5virus,263_0,Clustered,14,VC_263_0,14,0.6399,1.0,0.6399,2,1,1,1.0
613,Escherichia~virus~TLS,Caudovirales,Siphoviridae,Tlsvirus,62_0,Clustered,32,VC_62_0,32,0.9802,1.0,0.9802,10,1,1,0.9435
614,Escherichia~virus~Wphi,Caudovirales,Myoviridae,P2virus,68_0,Clustered,29,VC_68_0,29,0.839,1.0,0.839,2,1,1,1.0
615,Escherichia~virus~phiEco32,Caudovirales,Podoviridae,Phieco32virus,243_0,Clustered,6,VC_243_0,6,0.8532,1.0,0.8532,1,1,1,1.0
616,Escherichia~virus~phiX174,Unassigned,Microviridae,Phix174microvirus,251_0,Clustered,8,VC_251_0,8,0.9629,0.99998235,0.9628,4,1,1,1.0
617,Flavobacterium~phage~1H,Caudovirales,Siphoviridae,Unahavirus,265_0,Clustered,4,VC_265_0,4,1.0,0.0,0.0,1,1,1,1.0
618,Flavobacterium~phage~23T,Caudovirales,Siphoviridae,Unahavirus,265_0,Clustered,4,VC_265_0,4,1.0,0.0,0.0,1,1,1,1.0
619,Flavobacterium~phage~2A,Caudovirales,Siphoviridae,Unahavirus,265_0,Clustered,4,VC_265_0,4,1.0,0.0,0.0,1,1,1,1.0
620,Flavobacterium~phage~6H,Caudovirales,Siphoviridae,Unahavirus,265_0,Clustered,4,VC_265_0,4,1.0,0.0,0.0,1,1,1,1.0
621,Flavobacterium~phage~FCL-2,Caudovirales,Myoviridae,Ficleduovirus,217_0,Clustered,2,VC_217_0,2,0.7163,0.52049988,0.3728,1,1,1,1.0
622,Flavobacterium~phage~FCV-1,Caudovirales,Myoviridae,Ficleduovirus,217_0,Clustered,2,VC_217_0,2,0.7163,0.52049988,0.3728,1,1,1,1.0
623,Flavobacterium~phage~FpV4,Caudovirales,Podoviridae,Fipvunavirus,216_0,Clustered,5,VC_216_0,5,0.9814,0.99739953,0.9788,1,1,1,1.0
624,Flavobacterium~phage~Fpv1,Caudovirales,Podoviridae,Fipvunavirus,216_0,Clustered,5,VC_216_0,5,0.9814,0.99739953,0.9788,1,1,1,1.0
625,Flavobacterium~phage~Fpv10,Unassigned,Unassigned,Unassigned,168_0,Clustered,6,VC_168_0,6,0.9663,0.99999997,0.9663,1,1,1,1.0
626,Flavobacterium~phage~Fpv11,Unassigned,Unassigned,Unassigned,168_0,Clustered,6,VC_168_0,6,0.9663,0.99999997,0.9663,1,1,1,1.0
627,Flavobacterium~phage~Fpv2,Caudovirales,Podoviridae,Fipvunavirus,216_0,Clustered,5,VC_216_0,5,0.9814,0.99739953,0.9788,1,1,1,1.0
628,Flavobacterium~phage~Fpv20,Caudovirales,Podoviridae,Fipvunavirus,216_0,Clustered,5,VC_216_0,5,0.9814,0.99739953,0.9788,1,1,1,1.0
629,Flavobacterium~phage~Fpv3,Caudovirales,Podoviridae,Fipvunavirus,216_0,Clustered,5,VC_216_0,5,0.9814,0.99739953,0.9788,1,1,1,1.0
630,Flavobacterium~phage~Fpv5,Unassigned,Unassigned,Unassigned,168_0,Clustered,6,VC_168_0,6,0.9663,0.99999997,0.9663,1,1,1,1.0
631,Flavobacterium~phage~Fpv6,Unassigned,Unassigned,Unassigned,168_0,Clustered,6,VC_168_0,6,0.9663,0.99999997,0.9663,1,1,1,1.0
632,Flavobacterium~phage~Fpv7,Unassigned,Unassigned,Unassigned,168_0,Clustered,6,VC_168_0,6,0.9663,0.99999997,0.9663,1,1,1,1.0
633,Flavobacterium~phage~Fpv8,Unassigned,Unassigned,Unassigned,168_0,Clustered,6,VC_168_0,6,0.9663,0.99999997,0.9663,1,1,1,1.0
634,Geobacillus~phage~GBK2,Caudovirales,Siphoviridae,Unassigned,144_0,Clustered,3,VC_144_0,3,0.2742,0.90705946,0.2487,2,1,1,0.6667
635,Geobacillus~phage~GBSV1,Caudovirales,Myoviridae,Svunavirus,137_0,Clustered,2,VC_137_0,2,0.3791,0.88928749,0.3371,1,1,1,1.0
636,Geobacillus~phage~TP-84,Caudovirales,Siphoviridae,Tp84virus,144_0,Clustered,3,VC_144_0,3,0.2742,0.90705946,0.2487,2,1,1,0.6667
637,Geobacillus~virus~E2,Caudovirales,Siphoviridae,Unassigned,130_0,Clustered,2,VC_130_0,2,0.3275,0.8773089,0.2874,1,2,2,1.0
638,Geobacillus~virus~E3,Caudovirales,Siphoviridae,Unassigned,110_2,Clustered/Singleton,1,VC_110_2,1,0.0,0.0,0.0,1,1,1,1.0
639,Gokushovirinae~Bog1183_53,Unassigned,Microviridae,Unassigned,72_0,Clustered,12,VC_72_0,12,0.7849,1.0,0.7849,3,1,1,1.0
640,Gokushovirinae~Bog5712_52,Unassigned,Microviridae,Unassigned,72_0,Clustered,12,VC_72_0,12,0.7849,1.0,0.7849,3,1,1,1.0
641,Gokushovirinae~Bog8989_22,Unassigned,Microviridae,Unassigned,72_0,Clustered,12,VC_72_0,12,0.7849,1.0,0.7849,3,1,1,1.0
642,Gokushovirinae~Fen672_31,Unassigned,Microviridae,Unassigned,72_0,Clustered,12,VC_72_0,12,0.7849,1.0,0.7849,3,1,1,1.0
643,Gokushovirinae~Fen7875_21,Unassigned,Microviridae,Unassigned,72_0,Clustered,12,VC_72_0,12,0.7849,1.0,0.7849,3,1,1,1.0
644,Gordonia~phage~Attis,Caudovirales,Siphoviridae,Attisvirus,266_0,Clustered,2,VC_266_0,2,0.1719,0.90756076,0.156,1,1,1,1.0
645,Gordonia~phage~Bachita,Caudovirales,Siphoviridae,Smoothievirus,272_0,Clustered,4,VC_272_0,4,0.5215,0.99959822,0.5213,1,1,1,1.0
646,Gordonia~phage~BaxterFox,Caudovirales,Siphoviridae,Baxtervirus,266_1,Clustered,5,VC_266_1,5,0.4852,0.99999981,0.4852,2,1,1,1.0
647,Gordonia~phage~Blueberry,Caudovirales,Siphoviridae,Unassigned,268_0,Clustered,7,VC_268_0,7,0.7535,1.0,0.7535,1,1,1,1.0
648,Gordonia~phage~Bowser,Caudovirales,Siphoviridae,Bowservirus,267_0,Clustered,3,VC_267_0,3,0.2718,0.99642854,0.2709,2,1,1,1.0
649,Gordonia~phage~Brandonk123,Caudovirales,Siphoviridae,Vividuovirus,276_0,Clustered,5,VC_276_0,5,0.8121,0.99981937,0.812,2,1,1,1.0
650,Gordonia~phage~BritBrat,Caudovirales,Siphoviridae,Britbratvirus,102_0,Clustered,2,VC_102_0,2,0.2125,0.89260665,0.1897,2,1,1,1.0
651,Gordonia~phage~CaptainKirk2,Caudovirales,Siphoviridae,Unassigned,268_0,Clustered,7,VC_268_0,7,0.7535,1.0,0.7535,1,1,1,1.0
652,Gordonia~phage~CarolAnn,Caudovirales,Siphoviridae,Unassigned,268_0,Clustered,7,VC_268_0,7,0.7535,1.0,0.7535,1,1,1,1.0
653,Gordonia~phage~ClubL,Caudovirales,Siphoviridae,Smoothievirus,272_0,Clustered,4,VC_272_0,4,0.5215,0.99959822,0.5213,1,1,1,1.0
654,Gordonia~phage~Cozz,Caudovirales,Siphoviridae,Emalynvirus,277_0,Clustered,4,VC_277_0,4,0.7467,0.99989226,0.7466,1,1,1,1.0
655,Gordonia~phage~Cucurbita,Caudovirales,Siphoviridae,Smoothievirus,272_0,Clustered,4,VC_272_0,4,0.5215,0.99959822,0.5213,1,1,1,1.0
656,Gordonia~phage~Demosthenes,Caudovirales,Siphoviridae,Demosthenesvirus,279_0,Clustered,3,VC_279_0,3,0.2139,0.9956885,0.213,1,1,1,1.0
657,Gordonia~phage~Emalyn,Caudovirales,Siphoviridae,Emalynvirus,277_0,Clustered,4,VC_277_0,4,0.7467,0.99989226,0.7466,1,1,1,1.0
658,Gordonia~phage~GAL1,Caudovirales,Siphoviridae,Galunavirus,102_0,Clustered,2,VC_102_0,2,0.2125,0.89260665,0.1897,2,1,1,1.0
659,Gordonia~phage~GMA1,Caudovirales,Siphoviridae,Unassigned,269_0,Clustered,3,VC_269_0,3,0.2726,0.65228619,0.1778,1,1,1,1.0
660,Gordonia~phage~GMA3,Caudovirales,Siphoviridae,Gamtrevirus,278_0,Clustered,5,VC_278_0,5,0.4564,0.99999959,0.4564,3,1,1,1.0
661,Gordonia~phage~GMA4,Caudovirales,Siphoviridae,Unassigned,230_0,Clustered,2,VC_230_0,2,0.2772,0.75,0.2079,2,1,1,1.0
662,Gordonia~phage~GMA5,Caudovirales,Siphoviridae,Unassigned,100_0,Clustered,4,VC_100_0,4,0.7907,0.99047619,0.7831,1,1,1,1.0
663,Gordonia~phage~GMA7,Caudovirales,Siphoviridae,Getseptimavirus,279_2,Clustered,2,VC_279_2,2,0.1016,0.89649583,0.0911,1,1,1,1.0
664,Gordonia~phage~GRU1,Caudovirales,Siphoviridae,Unassigned,229_0,Clustered,3,VC_229_0,3,0.7231,0.99522298,0.7197,1,1,1,1.0
665,Gordonia~phage~GRU3,Caudovirales,Siphoviridae,Unassigned,100_0,Clustered,4,VC_100_0,4,0.7907,0.99047619,0.7831,1,1,1,1.0
666,Gordonia~phage~GTE2,Caudovirales,Siphoviridae,Emalynvirus,277_0,Clustered,4,VC_277_0,4,0.7467,0.99989226,0.7466,1,1,1,1.0
667,Gordonia~phage~GTE5,Caudovirales,Siphoviridae,Unassigned,229_0,Clustered,3,VC_229_0,3,0.7231,0.99522298,0.7197,1,1,1,1.0
668,Gordonia~phage~GTE6,Caudovirales,Siphoviridae,Unassigned,276_0,Clustered,5,VC_276_0,5,0.8121,0.99981937,0.812,2,1,1,1.0
669,Gordonia~phage~GTE7,Caudovirales,Siphoviridae,Getseptimavirus,279_2,Clustered,2,VC_279_2,2,0.1016,0.89649583,0.0911,1,1,1,1.0
670,Gordonia~phage~GTE8,Caudovirales,Siphoviridae,Unassigned,229_0,Clustered,3,VC_229_0,3,0.7231,0.99522298,0.7197,1,1,1,1.0
671,Gordonia~phage~Gmala1,Caudovirales,Siphoviridae,Gordtnkvirus,278_0,Clustered,5,VC_278_0,5,0.4564,0.99999959,0.4564,3,1,1,1.0
672,Gordonia~phage~GordDuk1,Caudovirales,Siphoviridae,Gordtnkvirus,278_0,Clustered,5,VC_278_0,5,0.4564,0.99999959,0.4564,3,1,1,1.0
673,Gordonia~phage~GordTnk2,Caudovirales,Siphoviridae,Gordtnkvirus,278_0,Clustered,5,VC_278_0,5,0.4564,0.99999959,0.4564,3,1,1,1.0
674,Gordonia~phage~Gsput1,Caudovirales,Siphoviridae,Gesputvirus,84_0,Clustered,3,VC_84_0,3,0.8047,0.99436479,0.8002,2,1,1,1.0
675,Gordonia~phage~Guacamole,Caudovirales,Siphoviridae,Unassigned,268_0,Clustered,7,VC_268_0,7,0.7535,1.0,0.7535,1,1,1,1.0
676,Gordonia~phage~Gustav,Caudovirales,Siphoviridae,Gustavvirus,83_0,Clustered,2,VC_83_0,2,0.4527,0.90748628,0.4108,1,1,1,1.0
677,Gordonia~phage~Hedwig,Caudovirales,Siphoviridae,Hedwigvirus,267_0,Clustered,3,VC_267_0,3,0.2718,0.99642854,0.2709,2,1,1,1.0
678,Gordonia~phage~Hotorobo,Caudovirales,Siphoviridae,Woesvirus,279_3,Clustered,3,VC_279_3,3,0.1627,0.99568113,0.162,1,1,1,1.0
679,Gordonia~phage~Jumbo,Caudovirales,Siphoviridae,Gorjumvirus,278_0,Clustered,5,VC_278_0,5,0.4564,0.99999959,0.4564,3,1,1,1.0
680,Gordonia~phage~Katyusha,Caudovirales,Siphoviridae,Demosthenesvirus,279_0,Clustered,3,VC_279_0,3,0.2139,0.9956885,0.213,1,1,1,1.0
681,Gordonia~phage~Kita,Caudovirales,Siphoviridae,Nymphadoravirus,266_1,Clustered,5,VC_266_1,5,0.4852,0.99999981,0.4852,2,1,1,1.0
682,Gordonia~phage~Kvothe,Caudovirales,Siphoviridae,Demosthenesvirus,279_0,Clustered,3,VC_279_0,3,0.2139,0.9956885,0.213,1,1,1,1.0
683,Gordonia~phage~Lennon,Caudovirales,Siphoviridae,Vividuovirus,276_0,Clustered,5,VC_276_0,5,0.8121,0.99981937,0.812,2,1,1,1.0
684,Gordonia~phage~Lucky10,Caudovirales,Siphoviridae,Unassigned,102_1,Clustered/Singleton,1,VC_102_1,1,0.0,0.0,0.0,1,1,1,1.0
685,Gordonia~phage~Mahdia,Caudovirales,Siphoviridae,Gustavvirus,83_0,Clustered,2,VC_83_0,2,0.4527,0.90748628,0.4108,1,1,1,1.0
686,Gordonia~phage~McGonagall,Caudovirales,Siphoviridae,Unassigned,100_0,Clustered,4,VC_100_0,4,0.7907,0.99047619,0.7831,1,1,1,1.0
687,Gordonia~phage~Monty,Caudovirales,Siphoviridae,Woesvirus,279_3,Clustered,3,VC_279_3,3,0.1627,0.99568113,0.162,1,1,1,1.0
688,Gordonia~phage~Nymphadora,Caudovirales,Siphoviridae,Nymphadoravirus,266_1,Clustered,5,VC_266_1,5,0.4852,0.99999981,0.4852,2,1,1,1.0
689,Gordonia~phage~Obliviate,Caudovirales,Siphoviridae,Unassigned,268_0,Clustered,7,VC_268_0,7,0.7535,1.0,0.7535,1,1,1,1.0
690,Gordonia~phage~OneUp,Caudovirales,Siphoviridae,Smoothievirus,272_1,Clustered/Singleton,1,VC_272_1,1,0.0,0.0,0.0,1,1,1,1.0
691,Gordonia~phage~Phinally,Caudovirales,Siphoviridae,Unassigned,276_0,Clustered,5,VC_276_0,5,0.8121,0.99981937,0.812,2,1,1,1.0
692,Gordonia~phage~Schwabeltier,Caudovirales,Siphoviridae,Bowservirus,267_0,Clustered,3,VC_267_0,3,0.2718,0.99642854,0.2709,2,1,1,1.0
693,Gordonia~phage~Smoothie,Caudovirales,Siphoviridae,Smoothievirus,272_0,Clustered,4,VC_272_0,4,0.5215,0.99959822,0.5213,1,1,1,1.0
694,Gordonia~phage~SoilAssassin,Caudovirales,Siphoviridae,Attisvirus,266_0,Clustered,2,VC_266_0,2,0.1719,0.90756076,0.156,1,1,1,1.0
695,Gordonia~phage~Sour,Caudovirales,Siphoviridae,Sourvirus,54_0,Clustered/Singleton,1,VC_54_0,1,0.0,0.0,0.0,1,1,1,1.0
696,Gordonia~phage~Splinter,Caudovirales,Siphoviridae,Vendettavirus,84_0,Clustered,3,VC_84_0,3,0.8047,0.99436479,0.8002,2,1,1,1.0
697,Gordonia~phage~Troje,Caudovirales,Siphoviridae,Emalynvirus,277_0,Clustered,4,VC_277_0,4,0.7467,0.99989226,0.7466,1,1,1,1.0
698,Gordonia~phage~Twister6,Caudovirales,Siphoviridae,Wizardvirus,270_0,Clustered,2,VC_270_0,2,0.4026,0.88944062,0.3581,1,1,1,1.0
699,Gordonia~phage~UmaThurman,Caudovirales,Siphoviridae,Unassigned,268_0,Clustered,7,VC_268_0,7,0.7535,1.0,0.7535,1,1,1,1.0
700,Gordonia~phage~Utz,Caudovirales,Siphoviridae,Unassigned,268_0,Clustered,7,VC_268_0,7,0.7535,1.0,0.7535,1,1,1,1.0
701,Gordonia~phage~Vendetta,Caudovirales,Siphoviridae,Vendettavirus,84_0,Clustered,3,VC_84_0,3,0.8047,0.99436479,0.8002,2,1,1,1.0
702,Gordonia~phage~Vivi2,Caudovirales,Siphoviridae,Vividuovirus,276_0,Clustered,5,VC_276_0,5,0.8121,0.99981937,0.812,2,1,1,1.0
703,Gordonia~phage~Wizard,Caudovirales,Siphoviridae,Wizardvirus,270_0,Clustered,2,VC_270_0,2,0.4026,0.88944062,0.3581,1,1,1,1.0
704,Gordonia~phage~Woes,Caudovirales,Siphoviridae,Woesvirus,279_3,Clustered,3,VC_279_3,3,0.1627,0.99568113,0.162,1,1,1,1.0
705,Gordonia~phage~Yeezy,Caudovirales,Siphoviridae,Baxtervirus,266_1,Clustered,5,VC_266_1,5,0.4852,0.99999981,0.4852,2,1,1,1.0
706,Gordonia~phage~Zirinka,Caudovirales,Siphoviridae,Nymphadoravirus,266_1,Clustered,5,VC_266_1,5,0.4852,0.99999981,0.4852,2,1,1,1.0
707,Guinea~pig~Chlamydia~phage,Unassigned,Microviridae,Chlamydiamicrovirus,72_0,Clustered,12,VC_72_0,12,0.7849,1.0,0.7849,3,1,1,1.0
708,Haemophilus~phage~Aaphi23,Caudovirales,Myoviridae,Unassigned,6_0,Clustered,2,VC_6_0,2,0.5922,0.87490959,0.5181,1,1,1,1.0
709,Haemophilus~virus~HP1,Caudovirales,Myoviridae,Hp1virus,69_0,Clustered,7,VC_69_0,7,0.562,1.0,0.562,2,1,1,1.0
710,Haemophilus~virus~HP2,Caudovirales,Myoviridae,Hp1virus,69_0,Clustered,7,VC_69_0,7,0.562,1.0,0.562,2,1,1,1.0
711,Haloarcula~californiae~icosahedral~virus~1,Unassigned,Sphaerolipoviridae,Alphasphaerolipovirus,291_0,Clustered,4,VC_291_0,4,1.0,0.0,0.0,1,1,1,1.0
712,Haloarcula~hispanica~icosahedral~virus~2,Unassigned,Sphaerolipoviridae,Alphasphaerolipovirus,291_0,Clustered,4,VC_291_0,4,1.0,0.0,0.0,1,1,1,1.0
713,Haloarcula~hispanica~pleomorphic~virus~1,Unassigned,Pleolipoviridae,Alphapleolipovirus,292_0,Clustered,2,VC_292_0,2,0.5111,0.71428571,0.3651,1,1,1,1.0
714,Haloarcula~hispanica~pleomorphic~virus~2,Unassigned,Pleolipoviridae,Alphapleolipovirus,292_0,Clustered,2,VC_292_0,2,0.5111,0.71428571,0.3651,1,1,1,1.0
715,Haloarcula~hispanica~virus~PH1,Unassigned,Sphaerolipoviridae,Alphasphaerolipovirus,291_0,Clustered,4,VC_291_0,4,1.0,0.0,0.0,1,1,1,1.0
716,Haloarcula~hispanica~virus~SH1,Unassigned,Sphaerolipoviridae,Alphasphaerolipovirus,291_0,Clustered,4,VC_291_0,4,1.0,0.0,0.0,1,1,1,1.0
717,Halomonas~virus~HAP1,Caudovirales,Myoviridae,Hapunavirus,196_0,Clustered,2,VC_196_0,2,0.2216,0.8984085,0.1991,1,1,1,1.0
718,Halorubrum~phage~CGphi46,Unassigned,Unassigned,Unassigned,80_0,Clustered,2,VC_80_0,2,0.8398,0.33333333,0.2799,1,2,2,1.0
719,Halorubrum~phage~HF2,Unassigned,Unassigned,Unassigned,295_0,Clustered,4,VC_295_0,4,0.7437,0.9999732,0.7436,1,1,1,1.0
720,Halovirus~HCTV-1,Unassigned,Unassigned,Unassigned,294_0,Clustered,3,VC_294_0,3,0.8871,0.99090909,0.8791,1,1,1,1.0
721,Halovirus~HCTV-2,Unassigned,Unassigned,Unassigned,297_0,Clustered,2,VC_297_0,2,0.4765,0.6,0.2859,1,1,1,1.0
722,Halovirus~HCTV-5,Unassigned,Unassigned,Unassigned,294_0,Clustered,3,VC_294_0,3,0.8871,0.99090909,0.8791,1,1,1,1.0
723,Halovirus~HF1,Unassigned,Unassigned,Unassigned,295_0,Clustered,4,VC_295_0,4,0.7437,0.9999732,0.7436,1,1,1,1.0
724,Halovirus~HHTV-2,Unassigned,Unassigned,Unassigned,297_0,Clustered,2,VC_297_0,2,0.4765,0.6,0.2859,1,1,1,1.0
725,Halovirus~HRTV-5,Unassigned,Unassigned,Unassigned,295_0,Clustered,4,VC_295_0,4,0.7437,0.9999732,0.7436,1,1,1,1.0
726,Halovirus~HRTV-8,Unassigned,Unassigned,Unassigned,295_0,Clustered,4,VC_295_0,4,0.7437,0.9999732,0.7436,1,1,1,1.0
727,Halovirus~HVTV-1,Unassigned,Unassigned,Unassigned,294_0,Clustered,3,VC_294_0,3,0.8871,0.99090909,0.8791,1,1,1,1.0
728,Hamiltonella~virus~APSE1,Caudovirales,Podoviridae,Unassigned,163_0,Clustered,2,VC_163_0,2,0.1366,0.90284751,0.1234,1,1,1,1.0
729,Helicobacter~phage~1961P,Caudovirales,Podoviridae,Una961virus,298_0,Clustered,4,VC_298_0,4,1.0,0.0,0.0,2,1,1,1.0
730,Helicobacter~phage~KHP30,Caudovirales,Podoviridae,Una961virus,298_0,Clustered,4,VC_298_0,4,1.0,0.0,0.0,2,1,1,1.0
731,Helicobacter~phage~KHP40,Caudovirales,Podoviridae,Una961virus,298_0,Clustered,4,VC_298_0,4,1.0,0.0,0.0,2,1,1,1.0
732,Helicobacter~phage~phiHP33,Caudovirales,Podoviridae,Schmidvirus,298_0,Clustered,4,VC_298_0,4,1.0,0.0,0.0,2,1,1,1.0
733,Idiomarinaceae~phage~1N2-2,Caudovirales,Siphoviridae,Unassigned,183_0,Clustered,3,VC_183_0,3,0.5249,0.96036519,0.5041,1,1,1,1.0
734,Idiomarinaceae~phage~Phi1M2-2,Caudovirales,Siphoviridae,Unassigned,58_0,Clustered,3,VC_58_0,3,0.1947,0.98442777,0.1916,1,1,1,1.0
735,Iodobacteriophage~phiPLPE,Caudovirales,Myoviridae,Unassigned,63_0,Clustered,8,VC_63_0,8,0.8481,1.0,0.8481,3,1,1,0.7857
736,Klebsiella~phage~1513,Caudovirales,Siphoviridae,Kp36virus,62_0,Clustered,32,VC_62_0,32,0.9802,1.0,0.9802,10,1,1,0.9435
737,Klebsiella~phage~JD001,Caudovirales,Myoviridae,Jedunavirus,63_0,Clustered,8,VC_63_0,8,0.8481,1.0,0.8481,3,1,1,0.7857
738,Klebsiella~phage~JD18,Caudovirales,Myoviridae,Jd18virus,33_9,Clustered,2,VC_33_9,2,0.0109,0.90848864,0.0099,2,1,1,1.0
739,Klebsiella~phage~K11,Caudovirales,Podoviridae,Kp32virus,218_0,Clustered,60,VC_218_0,60,0.9833,1.0,0.9833,4,1,1,1.0
740,Klebsiella~phage~K5,Caudovirales,Podoviridae,Kp32virus,218_0,Clustered,60,VC_218_0,60,0.9833,1.0,0.9833,4,1,1,1.0
741,Klebsiella~phage~KLPN1,Caudovirales,Siphoviridae,Kp36virus,62_0,Clustered,32,VC_62_0,32,0.9802,1.0,0.9802,10,1,1,0.9435
742,Klebsiella~phage~KP15,Caudovirales,Myoviridae,Kp15virus,36_0,Clustered,6,VC_36_0,6,0.1518,1.0,0.1518,2,1,1,1.0
743,Klebsiella~phage~KP27,Caudovirales,Myoviridae,Kp15virus,36_0,Clustered,6,VC_36_0,6,0.1518,1.0,0.1518,2,1,1,1.0
744,Klebsiella~phage~KP32,Caudovirales,Podoviridae,Kp32virus,218_0,Clustered,60,VC_218_0,60,0.9833,1.0,0.9833,4,1,1,1.0
745,Klebsiella~phage~KP36,Caudovirales,Siphoviridae,Kp36virus,62_0,Clustered,32,VC_62_0,32,0.9802,1.0,0.9802,10,1,1,0.9435
746,Klebsiella~phage~Matisse,Caudovirales,Myoviridae,Kp15virus,36_0,Clustered,6,VC_36_0,6,0.1518,1.0,0.1518,2,1,1,1.0
747,Klebsiella~phage~Miro,Caudovirales,Myoviridae,Kp15virus,36_0,Clustered,6,VC_36_0,6,0.1518,1.0,0.1518,2,1,1,1.0
748,Klebsiella~phage~PKO111,Caudovirales,Myoviridae,Jd18virus,33_10,Clustered/Singleton,1,VC_33_10,1,0.0,0.0,0.0,1,1,1,1.0
749,Klebsiella~phage~PKP126,Caudovirales,Siphoviridae,Kp36virus,62_0,Clustered,32,VC_62_0,32,0.9802,1.0,0.9802,10,1,1,0.9435
750,Klebsiella~phage~PMBT1,Caudovirales,Myoviridae,Slopekvirus,36_0,Clustered,6,VC_36_0,6,0.1518,1.0,0.1518,2,1,1,1.0
